# dx dy dz
-0.743211 0.192985 -0.64062
0.206018 0.11252 -0.972057
-0.31782 -0.558619 -0.766117
-0.170289 0.742562 -0.647768
0.417383 -0.684647 -0.597537
0.812026 -0.245501 -0.529474
-0.155084 0.0500325 -0.986634
0.774711 0.374705 -0.509333
0.715713 -0.518373 -0.468022
-0.381661 -0.506415 -0.773226
-0.732529 0.152057 -0.663536
0.780716 -0.599836 -0.175155
0.376894 -0.669618 -0.639971
0.449882 -0.18959 -0.872732
0.174874 0.935671 -0.306494
0.7829 0.0573967 -0.619495
0.692245 0.666615 -0.276443
0.434254 -0.855572 -0.281814
0.429841 -0.582633 -0.689765
0.316984 0.512875 -0.797797
-0.420193 0.424042 -0.802263
-0.473398 -0.0659731 -0.878374
0.15491 0.245792 -0.956864
0.541175 -0.376625 -0.751853
0.860369 0.253357 -0.442239
-0.180479 0.696645 -0.694343
-0.576102 -0.0968907 -0.811615
-0.858569 -0.398911 -0.322069
0.259225 0.912872 -0.315384
-0.0942872 0.406132 -0.908937
-0.734089 -0.475046 -0.485226
-0.350431 0.175765 -0.919948
-0.336766 0.894917 -0.292765
0.39505 -0.342044 -0.852609
-0.434855 -0.282933 -0.854898
0.550744 -0.727729 -0.408769
0.489413 -0.172258 -0.85487
0.527313 0.0848242 -0.845426
0.374304 -0.889698 -0.26141
0.813271 0.357804 -0.458875
-0.173577 -0.924622 -0.339035
-0.0194366 -0.0950919 -0.995279
0.778987 -0.445275 -0.441486
0.642392 0.718866 -0.265639
-0.913957 0.0222958 -0.405199
0.524897 -0.616061 -0.587327
0.519615 0.684521 -0.511304
-0.15119 0.543658 -0.825577
-0.693577 -0.178244 -0.697983
-0.415657 -0.173261 -0.892866
-0.144215 0.456005 -0.878215
0.285942 0.487058 -0.825234
0.785005 0.0874867 -0.613281
-0.562814 0.33503 -0.755642
0.573923 -0.305079 -0.75996
0.66499 0.0288967 -0.746293
0.19269 0.616906 -0.763084
-0.765427 -0.566327 -0.305606
0.189945 -0.254042 -0.948358
-0.704953 0.0738717 -0.705396
-0.407546 -0.743313 -0.530463
0.422441 0.0220029 -0.906123
0.179827 -0.447261 -0.876139
-0.44153 0.547758 -0.710642
0.310211 -0.485642 -0.817264
0.829557 0.0584472 -0.555354
0.019251 0.682737 -0.73041
-0.980481 -0.0791904 -0.179959
-0.983282 0.169999 -0.0652391
0.21934 0.0331607 -0.975085
-0.9321 0.13092 -0.337712
-0.210815 -0.181271 -0.960572
0.787065 -0.513552 -0.34175
-0.662821 -0.256898 -0.703329
-0.479685 0.211644 -0.851534
-0.666434 -0.6288 -0.400596
-0.654699 -0.361668 -0.663751
0.210177 -0.679904 -0.702536
0.369257 0.449791 -0.813226
-0.62186 0.407119 -0.668988
0.11397 0.0705823 -0.990974
-0.487864 0.121195 -0.864466
0.53451 -0.699413 -0.474468
0.192424 0.0491003 -0.980083
